"","Age"
"1207",46
"1208",20
"1209",33
"1210",50
"1211",62
"1212",28
"1213",43
"1214",31
"1215",63
"1216",20
"1217",29
"1218",24
"1219",36
"1220",48
"1221",48
"1222",47
"1223",53
"1224",32
"1225",68
"1226",38
"1227",29
"1228",40
"1229",89
"1230",72
"1231",45
"1232",60
"1233",24
"1234",31
"1235",24
"1236",51
"1237",48
"1238",44
"1239",35
"1240",33
"1241",42
"1242",29
"1243",52
"1244",36
"1245",27
"1246",48
"1247",60
"1248",68
"1249",45
"1250",23
"1251",27
"1252",25
"1253",20
"1254",22
"1255",72
"1256",38
"1257",26
"1258",66
"1259",34
"1260",30
"1261",53
"1262",37
"1263",68
"1264",47
"1265",23
"1266",55
"1267",20
"1268",37
"1269",40
"1270",65
"1271",28
"1272",46
"1273",60
"1274",19
"1275",32
"1276",62
"1277",63
"1278",64
"1279",46
"1280",57
"1281",47
"1282",64
"1283",48
"1284",61
"1285",60
"1286",29
"1287",30
"1288",52
"1289",45
"1290",78
"1291",36
"1292",82
"1293",41
"1294",39
"1295",26
"1296",64
"1297",47
"1298",21
"1299",20
"1300",59
"1301",25
"1302",49
"1303",26
"1304",30
"1305",27
"1306",33
"1307",26
"1308",59
"1309",80
"1310",22
"1311",49
"1312",48
"1313",34
"1314",38
"1315",30
"1316",54
"1317",75
"1318",56
"1319",19
"1320",44
"1321",53
"1322",35
"1323",46
"1324",20
"1325",50
"1326",51
"1327",52
"1328",72
"1329",60
"1330",22
"1331",39
"1332",57
"1333",54
"1334",49
"1335",62
"1336",51
"1337",73
"1338",27
"1339",68
"1340",44
"1341",67
"1342",78
"1343",60
"1344",48
"1345",78
"1346",47
"1347",24
"1348",75
"1349",78
"1350",24
"1351",56
"1352",19
"1353",29
"1354",32
"1355",21
"1356",27
"1357",19
"1358",56
"1359",62
"1360",47
"1361",43
"1362",39
"1363",42
"1364",44
"1365",22
"1366",34
"1367",57
"1368",58
"1369",80
"1370",73
"1371",61
"1372",48
"1373",60
"1374",30
"1375",49
"1376",65
"1377",56
"1378",40
"1379",22
"1380",23
"1381",21
"1382",22
"1383",24
"1384",51
"1385",21
"1386",22
"1387",44
"1388",32
"1389",42
"1390",34
"1391",48
"1392",48
"1393",68
"1394",31
"1395",29
"1396",26
"1397",25
"1398",35
"1399",33
"1400",64
"1401",25
"1402",59
"1403",50
"1404",29
"1405",60
"1406",54
"1407",35
"1408",44
"1409",65
"1410",55
"1411",26
"1412",66
"1413",56
"1414",49
"1415",28
"1416",26
"1417",46
"1418",65
"1419",37
"1420",56
"1421",64
"1422",47
"1423",21
"1424",43
"1425",48
"1426",68
"1427",45
"1429",22
"1430",77
"1431",69
"1432",65
"1433",59
"1434",65
"1435",42
"1436",45
"1437",26
"1438",32
"1439",28
"1440",37
"1441",46
"1442",72
"1443",26
"1444",24
"1445",50
"1446",68
"1447",72
"1448",47
"1449",45
"1450",23
"1451",39
"1452",46
"1453",45
"1454",63
"1455",30
"1456",61
"1457",19
"1458",50
"1459",46
"1460",54
"1461",35
"1462",51
"1463",29
"1464",38
"1465",41
"1466",74
"1467",56
"1468",50
"1469",34
"1470",61
"1471",21
"1472",30
"1473",61
"1474",19
"1475",60
"1476",46
"1477",63
"1478",41
"1479",37
"1480",35
"1481",54
"1482",51
"1483",27
"1484",59
"1485",52
"1486",48
"1487",51
"1488",31
"1489",20
"1490",31
"1491",32
"1492",49
"1493",67
"1494",50
"1495",48
"1496",42
"1497",45
"1498",27
"1499",56
"1500",61
"1501",42
"1502",65
"1503",52
"1504",51
"1505",68
"1506",62
"1507",42
"1508",87
"1509",25
"1510",58
"1511",21
"1512",34
"1513",31
"1514",24
"1515",27
"1516",20
"1517",38
"1518",30
"1519",50
"1520",36
"1521",45
"1522",35
"1523",50
"1524",34
"1525",36
"1526",47
"1527",27
"1528",54
"1529",25
"1530",64
"1531",63
"1532",41
"1533",20
"1534",49
"1535",59
"1536",29
"1537",29
"1538",39
"1539",62
"1540",21
"1541",32
"1542",33
"1543",59
"1544",25
"1545",27
"1546",30
"1547",28
"1548",18
"1549",56
"1550",22
"1551",34
"1552",50
"1553",43
"1555",24
"1556",29
"1557",29
"1558",39
"1559",46
"1560",41
"1561",57
"1562",34
"1563",44
"1564",48
"1565",21
"1566",27
"1567",37
"1568",20
